identificacion_expediente,fecha_ingreso,area_emisora,genero_solicitante,referencia_expediente,area_responsable_respuesta,sintesis_respuesta,nombre_cargo_firmante_respuesta,fecha_respuesta
EX-2019-81929484-APN-DNAIP#AAIP,2019-09-10,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Me gustaría obtener información acerca de la empresa OMINT S. A. de Servicios, CUIT: 30-55024530-9, con sede en Capital Federal. Necesitaría la siguiente información: a) Nombre y apellido de los socios de sociedades comerciales nacionales, excepto de las sociedades anónimas y los socios comanditarios de las sociedades en comandita por acciones, con más las actualizaciones inscriptas en el organismo; b) Fecha del instrumento de constitución; c) Sede social inscripta; d) Capital social; e) Composición del órgano de administración o representante legal inscripto; f) Composición del órgano de fiscalización inscripto; g) Fecha de cierre de ejercicio; h) Datos registrales, número de inscripción, libro y tomo del Registro Público de Comercio; i) Vigencia; j) Fecha de reformas de estatuto; k) Existencia de derechos reales sobre cuotas sociales; I) Situación concursal de las sociedades, sus socios, administradores, representantes e integrantes del órgano de fiscalización; m) Medidas cautelares que pesen sobre la entidad; n) Medidas cautelares que recaigan sobre cuotas y partes sociales, sus modificaciones o levantamientos, sobre la sociedad o que afecten alguno de sus actos registrables",,SE ENVÍO POR TAD LA NOTA N° NO-2019-83856162-APN-DGDYD#MJ JUNTO A LOS INFORMES DE LA INSPECCIÓN GENERAL DE JUSTICIA (IF-2019-83720831-APNDRNS# IGJ e IF-2019-83004006-APN-DSC#IGJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-09-16
EX-2019-81693926-APN-INADI#MJ,2019-09-10,INADI,,Copia del dictamen recaído en el caso de la denuncia efectuada contra la Cooperativa de Provisión de Servicios de Enseñanza Colegio Balmoral Limitada.,,SE LE PROPORCIONA DICTAMEN Nº 233/2008.,Analia Alejandra Miskowiec - Directora ,2019-09-30
EX-2019-82059272-APN-DGDYD#MJ,2019-09-11,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Femenino,SOLICITUD DE ACCESO A LA INFORMACION PUBLICA DE HILDA V. MONTENEGRO RELACIONADA CON EL SEÑOR EUGENIO VEPPO Y SU RELACION LABORAL CON EL ESTADO NACIONAL,,SE ENVÍO AL DOMICILIO ONSTITUÍDO LA NOTA N° NO-2019-89768005-APNDGDYD# MJ CON LOS INFORMES DE LAS ÁREAS COMPETENTES.,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-10-02
EX-2019-82129243-APN-DGDYD#MJ,2019-09-11,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Masculino,"Informe de la ASOCIACIÓN CIVIL DE PROFESIONALES ADMINISTRADORES DE LA REPU ARGE (A.P.A.R.A.), N° Correlativo 1900519: Listado histórico de Balances, Listado de Trámites registrados y Listado de autoridades de la Comisión Directiva",,SE ENVÍO POR TAD LA NOTA N° NO-2019-83787844-APN-DGDYD#MJ JUNTO AL INFORME N° IF-2019-82952567-APN-DRNS#IGJ DE LA INSPECCIÓN GENERAL DE JUSTICIA.,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-09-16
EX-2019-82571010-APN-DNAIP#AAIP,2019-09-12,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Consultar si el Sistema Informático de Gestión Judicial (SGJ) (específicamente el Portal de Gestión de Causas) cuenta con “servicios web” (web services), API, o alguna otra aplicación de programación que permita la interface entre el Sistema del Poder Judicial y el propio sistema de gestión del usuario (v.gr. abogados). En su caso, en donde se encuentran publicados o porque medio pueden accederse a los mismos para su implementación",,"Se solicito al peticionante mediante la NO-2019-82828167-APN-DGDYD#MJ se sirva aclarar y/o ampliar ésta a fin de aportarle, eventualmente, los datos que puedan satisfacer su inquietud. Al no obtener respuesta del peticionante se procede a su archivo",Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-09-13
EX-2019-82607615-APN-INADI#MJ,2019-09-12,INADI,Masculino,"Solicita información sobre denuncias recibidas por discriminación, racismo o xenofobia en locales nocturnos y bailables de la ciudad de Buenos Aires y el gran Buenos Aires",,SE PROVEE INFORMACIÓN ESTADISTICA SOBRE DCIAS. A BOLICHES BAILABLES.,ANALÍA ALEJANDRA MISKOWIEC - DIRECTORA - INADI,2019-10-07
EX-2019-83771972-APN-DNAIP#AAIP,2019-09-16,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Denuncias recibidas por la Oficina Anticorrupción en el período 2017-2019 relativas a hechos de corrupción en donde estuviere involucrado cualquier funcionario perteneciente al Ministerio del Interior, Obras Públicas y Vivienda y/o al Ministerio de Transporte. Además, solicito especificaciones sobre: (1) cuántas de las denuncias especificadas fueron desestimadas sin más trámite y (2) cuantas investigaciones administrativas por irregularidades y/o posibles hechos de corrupción en el ámbito de competencia de la Oficina fueron iniciadas a partir de las denuncias especificadas",,Se notifico por TAD la NO-2019-90480705-APN-DNAE#OA ,Leonardo Limanski - Director Nacional - Dirección Nacional de Asuntos Estrategicos -Oficina Anticorrupción ,2019-10-07
EX-2019-83794845-APN-DNAIP#AAIP,2019-09-16,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,Solicito mis datos personales e información que posean,,SE ENVÍO POR TAD LA NOTA N° NO-2019-84960108-APN-DGDYD#MJ INFORMÁNDOLE QUE DEBE HACER LA PRESENTACIÓN POR ANTE LA DIRECCIÓN NACIONAL DE PROTECCIÓN DE DATOS PERSONALES.,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-09-19
EX-2019-83674872-APN-INAI#MJ,2019-09-16,INAI,Masculino,IMPLEMENTACION DE LA LEY N°26.160.,,Se le respondió todo lo necesario para contribuir a su Tésis y por lo tanto a su pedido,Victoria Casareto - INAI,2019-10-03
EX-2019-84206193-APN-DNAIP#AAIP,2019-09-17,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"legislación vigente a nivel nacional y en la ciudad de Buenos Aires sobre el uso de herramientas de anonimato en internet (ej. Tor o otras) y cual es el procedimiento y/o práctica forense mediante el cual las autoridades competentes (ej. policía, fiscales, jueces), en el caso de haber algún tipo de crimen involucrado, actúan frente a estas herramientas de anonimato y/o ocultamiento de la identidad en internet. A su vez, como se relaciona esto con lo estipulado en la ley 27.319 de agentes encubiertos, y los tratados de derechos humanos sobre la libertad de expresión y protección de datos de nivel constitucional, Art. 75 Inc. 22….",,SE ENVÍO POR TAD LA NOTA N° NO-2019-86986810-APN-DGDYD#MJ CON EL INFORME N° IF-2019-86342240-APN-SSJYPC#MJ DEL SEÑOR SUBSECRETARIO DE JUSTICIA Y POLÍTICA CRIMINAL.,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-09-25
EX-2019-85482556-APN-DGDYD#MJ,2019-09-20,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,,"Soliciita información de la Actuación 12054/17 Caratulada ""Santoro, Oscar Domigo S/Presunta Demora en el  trámite de un Exp. Ante la SEC. DD.HH.""",,SE ENVÍO AL DEFENSOR DEL PUEBLO DE LA NACIÓN LA NOTA N° NO-2019- 91789495-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN DE GESTIÓN DE POLÍTICAS REPARATORIAS (IF-2019-91287779-APN-DGPR#MJ).,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-10-09
EX-2019-85775544-APN-DNAIP#AAIP,2019-09-21,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,Informe cantidad de reclusos que hay en los establecimientos penitenciarios del pais con sentencia firme,,SE ENVÍO POR TAD LA NOTA N° NO-2019-87166045-APN-DGDYD#MJ DONDE SE LE INFORMÓ EL LINK AL QUE PUEDE ENCONTRARA LA BASE DE DATOS DEL SISTEMA DE CONSULTA NACIONAL DE REBELDÍAS Y CAPTURAS (Co.Na.R.C.).,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-09-25
EX-2019-86606591-APN-DNAIP#AAIP,2019-09-24,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Solicita base de datos del CONARC a cargo del Registro Nacional de Reincidencia. Necesitaría saber los datos de aquellas personas que se encontrarían en esa base de datos que sería ""pública"" pero a la cual no se puede tener acceso",,SE ENVÍO POR TAD LA NOTA N° NO-2019-87166045-APN-DGDYD#MJ DONDE SE LE INFORMÓ EL LINK AL QUE PUEDE ENCONTRARA LA BASE DE DATOS DEL SISTEMA DE CONSULTA NACIONAL DE REBELDÍAS Y CAPTURAS (Co.Na.R.C.).,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-09-25
EX-2019-87203875-APN-DNAIP#AAIP,2019-09-25,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Cantidad de personas en prisión que acceden a educación universitaria -Cantidad de personas en prisión que acceden a la escuela primaria y secundaria -Detallando cuántas son hombres, cuántas mujeres y sus rangos etarios",,"SE ENVÍO POR TAD LA NOTA N° NO-2019-90937785-APN-DGDYD#MJ CON EL INFORME PRODUCIDO POR LA DIRECCIÓN DE EDUCACIÓN, CULTURA Y DEPORTES DEL SPF (NO-2019-88166048-APN-DECYD#SPF).",SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-10-07
EX-2019-87616651-APN-DNAIP#AAIP,2019-09-26,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,Cifras de las victimas menores de edad de robo y suplantación de identidad digital. Desde el 2010 hasta el día de hoy,,SE ENVÍO POR TAD LA NOTA N° NO-2019-90198210-APN-DGDYD#MJ CON EL INFORME DEL SEÑOR DIRECTOR NACIONAL DE POLÍTICA CRIMINAL EN MATERIA DE JUSTICIA Y LEGISLACIÓN PENAL (NO-2019-89376547-APN-DNPCMJYLP#MJ),SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-10-03
EX-2019-87662189-APN-DNAIP#AAIP,2019-09-26,TAD- Dirección Nacional de Acceso a la Información Pública,,SOLICITUD DE ISOLOGOTIPO DE LA DIRECCION DE PROTECCION DE DATOS PERSONALES,,Se notifico por NO-2019-87720418-APN-DGDYD#MJ la derivación a la DIRECCION DE PROTECCION DE DATOS PERSONALES,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-09-26
EX-2019-87808477-APN-DNAIP#AAIP,2019-09-26,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Se informe si el Ministerio de Justicia tiene información estadística sobre cantidad y duración de los juicios sucesorios en cualquier jurisdicción del país pero especialmente en el fuero de la Justicia Nacional en lo Civil. 2. En caso afirmativo, se envíen los datos correspondientes a los años 2016, 2017, 2018 y 2019, o en su defecto, los más actualizados con los que se cuenten, indicando a que periodo corresponden. 3. Se indique si se cuenta con información estadística sobre la duración de los procesos referidos en el punto 1. En caso afirmativo, se brinde y se indique que criterios se utilizaron para medir dicha duración (es decir ¿desde cuando se cuenta la duración? ¿cuando se termina de contar la duracion?, ej: paralizacion, declaratoria de herederos, etc) 4. En caso de que la información de los puntos anteriores se encuentre discriminada por tipo de sucesion (ej: testamentaria o ab-intestato), se brinde discriminada. Caso contrario se informe que la misma no se encuentra discrminada.",,SE ENVÍO POR TAD LA NOTA N° NO-2019-88911002-APN-DGDYD#MJ INFORMANDO QUE NO SE CUENTA CON LAS ESTADÍSTICAS REQUERIDAS Y SE DARÍA INTERVENCIÓN AL PODER JUDICIAL DE LA NACIÓN.,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-09-30
EX-2019-87910469-APN-SIGEN,2019-09-27,SIGEN,Femenino,Necesito copia en formato pdf de los expedientes de declaración de sitios de memoria en particular: 1. Arsenal de Artillería de marina Zárate 2. Buque ARA Murature 3. Comisaría 1 de Junín 4. La Brigada de Investigaciones y la Unidad Penal 3 de San Nicolás 5. El Tiro Federal Campana 6. La Comisaria 1 de Escobar. 7. La Fabrica FORD 8. La Comisaria 1 de Tigre 9. La guarnición militar campo de Mayo en San Miguel 10. La Comisaria 3ra de Lanús”.,,SE ENVÍO POR CORREO POSTAL LA NOTA N° NO-2019-99398310-APNDGDYD# MJ CON EL INFORME DEL ARCHIVO NACIONAL DE LA MEMORIA DE LA SECDHYPC#MJ (IF-2019-98107412-APN-ANM#MJ Y LOS DOCUMENTOS DE RESPALDO PERTINENTES.,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-11-05
EX-2019-88100128-APN-DNAIP#AAIP,2019-09-27,TAD- Dirección Nacional de Acceso a la Información Pública,,Solicito información sobre fondos del Estado Nacional para la COOPERATIVA DE TRABAJO TIERRA TECHO Y TRABAJO LTDA; CUIT: 30-71197285-0 durante los periodos desde el 2011 hasta la fecha,,SE ENVÍO POR TAD LA NOTA N° NO-2019-95222467-APN-DGDYD#MJ CON LOS INFORMES ELABORADOS POR LOS SERVICIOS ADMINISTRATIVOS FINANCIEROS (SAFs) DEL MINISTERIO.,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-22
EX-2019-89126123-APN-DGDYD#MJ,2019-09-30,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Femenino,"Informar en detalle un listado indicando titular dominial actual, superficie y ubicación (pertenencia provincial y subprovincial) del inmueble de acuerdo a las comunicaciones recibidas en el ámbito de la Dirección Nacional del Registro de Tierras Rurales dentro de su jurisdicción en virtud de lo dispuesto en el Art. 3.2 del Decreto 274/2012 modificado por el Artículo 2° del Decreto 820/2016 sobre todas modificaciones en las participaciones o titularidad de un[a] persona jurídica (sea por transmisión de participaciones sociales, reorganización societaria, aumento o reducción de capital o por cualquier otro modo) titular de dominio de tierras rurales",,SE ENVÍO AL DOMICILIO CONSTITUÍDO POR LA SENADORA NACIONAL LA NOTA N° NO-2019-91840106-APN-DGDYD#MJ CON EL INFORME DE LA DIRECTORA NACIONAL DEL REGISTRO NACIONAL DE TIERRAS RURALES (IF-2019-91721493-APN-DNRNTR#MJ).,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-10-09
EX-2019-88900062-APN-DNAIP#AAIP,2019-09-30,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,Copia del balance correspondiente al ejercicio económico finalizado el 28/02/2018 de la sociedad AEQUALIS S.A. CUIT 30-69101504-8 cuya copia fuera oportunamente abonada,,SE ENVÍO POR TAD LA NOTA N° NO-2019-95118048-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN NACIONAL DEL REGISTRO DE SOCIEDADES DE LA IGJ (IF-2019- 94738536-APN-DRNS#IGJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-22
EX-2019-89391790-APN-DGDYD#MJ,2019-10-01,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,,"contribuyente VERTEL ARGENTINA S.R.L.,…se le solicita que en el término de quince (15) días hábiles…ponga a disposición siguiente documentación: órdenes de compra y/o contratos emitidas/os a favor del citado contribuyente correspondiente a los períodos 2014 a 2019.”",,SE ENVÍO AL DOMICILIO CONSTITUIDO LA NOTA N° NO-2019-95575567-APN-DGDYD#MJ CON LOS INFORMES ELABORADOS POR LOS SERVICIOS ADMINISTRATIVOS FINANCIEROS (SAFs).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-23
EX-2019-89525220-APN-DGDYD#MJ,2019-10-01,Dirección de Gestión Documental y Despacho  - DGDYD#MJ - TAD,Femenino,"Solicita audicencia con el Sr. Pichetto, secuestro y robo de identidad y denunciar a el expresidente cristina fernandez y otros el señor es el unico funcionario que cumple con su funcion cuidar y resguardad la constitución",,Se notifico por TAD la NO-2019-93946073-APN-DGDYD#MJ,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-17
EX-2019-90113561-APN-DGDYD#MJ,2019-10-03,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Masculino,"Tenga a bien brindar la siguiente información: Adjunte copia legible del acto administrativo dictado en la solicitud de reparación formulada por el señor Modesto OVEJERO o, en caso contrario, señale las razones que impiden adoptar una decisión definitiva y el plazo aproximado en que se subsanará tal situación",,SE ENVÍO AL DEFENSOR DEL PUEBLO DE LA NACIÓN LA NOTA N° NO-2019- 91358764-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN DE GESTIÓN DE POLÍTICAS REPARATORIAS (NO-2019-90541973-APN-DGPR#MJ).,SILVIA MABEL PARENTI -SUPLENTE DE LA RESPONSABLE DE ACCESO A LA INFORMACIÓN PÚBLICA DEL MJyDDHH,2019-10-10
EX-2019-90082309-APN-DGDYD#MJ,2019-10-03,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Masculino,"Tenga a bien brindar la siguiente información: Adjunte copia legible del acto administrativo dictado en la solicitud de reparación formulada por el señora Delia Esther PEREZ o, en caso contrario, señale las razones que impiden adoptar una decisión definitiva y el plazo aproximado en que se subsanará tal situación.",,SE ENVÍO AL DEFENSOR DEL PUEBLO DE LA NACIÓN LA NOTA N° NO-2019- 93578497-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN DE GESTIÓN DE POLÍTICAS REPARATORIAS DE LA SECDDHH#MJ (ME-2019-91048079-APN-DGPR#MJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-16
EX-2019-90329817-APN-DNAIP#AAIP,2019-10-04,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"Necesito informacion sobre como acceder al servicio de la Red Federal de patrocinio juridico gratiito. Ya hable 2 veces con el señor Sergio Carullo en acceso a la justicia Cordoba, sobre la grave violacion que he sufrido a mi garantia de debido proceso y a mi derecho de defensa en juicio por parte del poder judicial de la provincia de Cordoba, ( violacion a mi derechos humanos),demostrando un total desgano y falta de compromiso con mi consulta, esta violacion puede ser corregida mediante una accion autonoma de inconstitucionalidad, por lo cual necesito acceder a patrocinio juridico, y dada mi situacion economica, gratuito, por lo tanto vuelvo a solicitar la informacion publica concreta sobre procedimiento para obtener la misma",,SE ENVÍO POR TAD LA NOTA N° NO-2019-96425207-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN NACIONAL DE PROMOCIÓN Y FORTALECIMIENTO PARA EL ACCESO A LA JUSTICIA (IF-2019-96378455-APN-DNPYFAJ#MJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-25
EX-2019-91313500-APN-DGDYD#MJ,2019-10-08,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Masculino,"JUAREZ, Juan, sobre presunta demora en el trámite de expedientes ante la Secretaría de Derechos Humanos”",,SE ENVÍO AL DEFENSOR DEL PUEBLO DE LA NACIÓN LA NOTA N° NO-2019- 97221409-APN-DGDYD#MJ CON EL INFORME DE LA DIRECTORA DE GESTIÓN DE POLÍTICAS REPARATORIAS DE LA SECDHYPC#MJ (NO-2019-96935139-APN-DGPR#MJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-29
EX-2019-91388872-APN-DNAIP#AAIP,2019-10-08,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"“…Mi pedido de información es relacionado con la empresa -OMINT S. A de Servicios-, CUIT: 30-55.024.530-9, inscripción IGJ: 800989. Por favor, verificar en sus archivos/sistemas si consta una copia de la escritura pública de fusión por absorción entre la empresa OMINT con la sociedad CS Salud S. A, aumento de capital a la suma de 1.998.882 pesos y reforma del artículo cuarto de sus estatutos otorgada el 26 de agosto de 2014. Caso haya una copia de dicha escritura, por favor, enviar una copia completa de esta.",,SE ENVÍO POR TAD LA NOTA N° NO-2019-95694107-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN DEL REGISTRO NACIONAL DE SOCIEDADES DE LA IGJ (IF-2019- 94771628-APN-DRNS#IGJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-23
EX-2019-91715441-APN-DGDYD#MJ,2019-10-09,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Masculino,"SOLICITA ACCESO A LA INFORMACION PUBLICA REF TORRES, AZUCENA DEL VALLE, SOBRE PRESUNTA DEMORA EN EL TRAMITE DE EXPEDIENTE EN LA SECRETARIA DE DD HH (EXP-S04:0010126/2013)",,SE ENVÍO AL DEFENSOR DEL PUEBLO DE LA NACIÓN LA NOTA N° NO-2019- 96369626-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN DE GESTIÓN DE POLÍTICAS REPARATORIAS DE LA SECDHYPC (PV-2019-94683770-APN-DGPR#MJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-25
EX-2019-92309008-APN-DNAIP#AAIP,2019-10-10,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Información referida a la cantidad de menores que fueron adoptados y la cantidad de menores que esperan ser adoptados en Buenos Aires, que se encuentra bajo la órbita del Ministerio de Salud y Desarrollo Social",,SE ENVÍO POR TAD LA NOTA N° NO-2019-95114750-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN NACIONAL DEL REGISTRO UNICO DE ASPIRANTES A AGUARDA CON FINES ADOPTIVOS (NO-2019-94736592-APN-RUAGFA).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-22
EX-2019-92767917-APN-DNAIP#AAIP,2019-10-13,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Informe detalladamente el listado de títulos de reservas otorgados a pobladores indígenas que lo que hoy constituye territorio de la provincia de Río Negro, entre 1880-1916.",,Se respondio mediante la NO-2019-99046207-APN-DTYRNCI#INAI,Juan Cruz Testa - Director de Tierras y RE.NA.CI,2019-11-05
EX-2019-93045466-APN-DNAIP#AAIP,2019-10-15,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,"información acerca de la radicación de todos los automóviles y camionetas (automóviles livianos) en circulación al día de la fecha. Dicha información es pública y gratuitamente distribuida por el DNRPA (Dirección Nacional de Registros de Propiedad Automotor) dependiente del Ministerio de Justicia aunque se encuentra restringida por un Captcha. A tal fin, mucho agradecería obtener un listado que incluya únicamente dominio, ciudad de radicación y Registro Automotor al que se corresponde cada vehículo al día de la fecha",,SE ENVÍO POR TAD LA NOTA N° NO-2019-96870661-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN NACIONAL DE LOS REGISTROS NACIONALES DE LA PROPIEDAD DEL AUTOMOTOR Y DE CRÉDITOS PRENDARIOS (IF-2019-96574836-APN-DNRNPACP#MJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-28
EX-2019-93623965-APN-DGDYD#MJ,2019-10-15,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Masculino,"En relación al expediente de la referencia [IGJ N° 9046303] originado por una denuncia presentada ante la IGJ, contra Plan Rombo SA, y a partir de que ese Organismo, podría haber autorizado un reemplazo de modelo, según las propias declaraciones escritas del Apoderado de esa Sociedad, y a partir de que el informe sobre la denuncia, emitido por la funcionaria de esa IGJ, la Dra. Marino, Noelia, avalando el procedimiento de reemplazo del modelo, en lo que podría constituir una franca violación de los términos del contrato, solicitamos la remisión con las documentales correspondientes de las acciones y los procedimientos ejecutados por esa Sociedad de Ahorro dentro de la IGJ, y quienes de sus funcionarios participaron en él.",,"SE ENVÍO POR CORREO POSTAL LA NOTA N° NO-2019-98135615-APNDGDYD#MJ CON LOS INFORMES PERTINENTES (IF-2019-97221141-APN-IGJ#MJ, IF-2019-97806399-APN-DGDYD#MJ e IF-2019-97807301-APN -DGDYD#MJ).",Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-11-01
EX-2019-93529749-APN-DGDYD#MJ,2019-10-16,Dirección de Gestión Documental y Despacho  - DGDYD#MJ,Femenino, CANTIDAD DE PENITENCIERIAS DE ARGENTINA; CANTIDAD DE PERSONAS PRIVADAS DE SU LIBERTAD Y *CANTIDAD DE EXTRANJEROS PRIVADOS DE SU LIBERTAD EN ARGENTINA,,SE ENVÍO POR CORREO POSTAL AL DOMICILIO DENUNCIADO LA NOTA N° NO-2019-95693951-APN-DGDYD#MJ CON EL INFORME DE LA SUBSECRETARÍA DE ASUNTOS PENITENCIARIOS Y RELACIONES CON EL PODER JUDICIAL Y LA COMUNIDAD ACADÉMICA (NO- 2019-94629784-APN-SSAPYRPJYCA#MJ),Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-23
EX-2019-93438370-APN-DNAIP#AAIP,2019-10-16,TAD- Dirección Nacional de Acceso a la Información Pública,Masculino,Necesito saber la cantidad de personas condenadas por el delito de femicidio en el año 2018,,SE ENVÍO POR TAD LA NOTA N° NO-2019-95151935-APN-DGDYD#MJ CON EL INFORME DE LA DIRECCIÓN NACIONAL DEL REGISTRO NACIONAL DE REINCIDENCIA (IF-2019- 94768402-APN-RNR#MJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-22
EX-2019-93952821-APN-DNAIP#AAIP,2019-10-17,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,Queria obtener la información sobre reincidencia de los hombres y mujeres privados de su libertad en todos los pabellones (por separado) de los siguientes penales: unidad penal San Martín la 47 y la 48 unidad penal de Devoto unidad Almafuerte en Mendoza unidad de Villa Urquiza en Tucumán. Deseo obtener esta información para comparar los porcentajes de reincidencia en unidades donde el deporte es parte de las actividades del penal…,,SE ENVÍO POR TAD LA NOTA N° NO-2019-95942899-APN-DGDYD#MJ CON EL INFORME DE LA SUBSECRETARÍA DE ASUNTOS PENITENCIARIOS Y RELACIONES CON EL PODER JUDICIAL Y LA COMUNIDAD ACADÉMICA (NO-2019-94630853-APN-SSAPYRPJYCA#MJ).,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-24
EX-2019-94330710-APN-DNAIP#AAIP,2019-10-18,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Solicito información sobre la ejecución del relevamiento territorial de comunidades indígenas a cargo del INAI, cuántas comunidades lo han solicitado, qué convenios se firmaron con qué provincias, cuáles están vigentes, cuántas carpetas de completaron, en qué rovincias o regiones, cuántas comunidades indígenas recibieron títulos de propiedad de sus tierras, en qué regiones.",,SE ENVÍO POR TAD LA NOTA N° NO-2019-100592716-APN-DTYRNCI#INAI CON EL INFORME DE LA DIRECCIÓN DE TIERRAS Y REGISTRO NACIONAL DE COMUNIDADES INDÍGENAS.,Juan Cruz Testa - Director - Dirección de Tierras  y Registro Nacional de Comunidades Indigenas - INAI,2019-11-08
EX-2019-94373931-APN-DNAIP#AAIP,2019-10-18,TAD- Dirección Nacional de Acceso a la Información Pública,Femenino,"Solicita información sobre las causas en la que participa la PROCUVIN en casos de violencia institucional, de todas los contextos, incluido el servicip penitenciario. Periodo 2017 a 2019",,SE ENVÍO POR TAD NOTA N° NO-2019-94754927-APN-DGDYD#MJ INFORMANDO QUE NO CORRESPONDE AL MINISTERIO Y QUE COPIA SERÍAN ENVIADAS A LA AAIP DE LA PROCURACIÓN GENERAL DE LA NACIÓN.,Silvia Esther Barneda - Directora - Dirección de Gestión Documental y Despacho,2019-10-21
